unique-id,title,authors,doi,pmid,eissn,issn,advanced_online_year,year,month,journal,number,volume,pages
WOS:000374815900052,The crystal structure of Cpf1 in complex with CRISPR RNA,"Dong,De|Ren,Kuan|Qiu,Xiaolin|Zheng,Jianlin|Guo,Minghui|Guan,Xiaoyu|Liu,Hongnan|Li,Ningning|Zhang,Bailing|Yang,Daijun|Ma,Chuang|Wang,Shuo|Wu,Dan|Ma,Yunfeng|Fan,Shilong|Wang,Jiawei|Gao,Ning|Huang,Zhiwei",10.1038/nature17944,27096363,1476-4687,0028-0836,,2016,April,NATURE,7600,532,522+
WOS:000396160500033,Creation of Novel Protein Variants with CRISPR/Cas9-Mediated Mut agenesis: Turning a Screening By-Product into a Discovery Tool,"Donovan,Katherine F.|Hegde,Mudra|Sullender,Meagan|Vaimberg,Emma W.|Johannessen,Cory M.|Root,David E.|Doench,John G.",10.1371/journal.pone.0170445,28118392,,1932-6203,,2017,January,PLOS ONE,1,12,
WOS:000435223400001,Systematic discovery of antiphage defense systems in the microbial pangenome,"Doron,Shany|Melamed,Sarah|Ofir,Gal|Leavitt,Azita|Lopatina,Anna|Keren,Mai|Amitai,Gil|Sorek,Rotem",10.1126/science.aar4120,29371424,1095-9203,0036-8075,,2018,March,SCIENCE,6379,359,
WOS:000345763400031,The new frontier of genome engineering with CRISPR-Cas9,"Doudna,Jennifer A.|Charpentier,Emmanuelle",10.1126/science.1258096,25430774,1095-9203,0036-8075,,2014,November,SCIENCE,6213,346,1077+
WOS:000224000500046,Tropism switching in Bordetella bacteriophage defines a family of diversity-generating retroelements,"Doulatov,S.|Hodes,A.|Dai,L.X.|Mandhana,N.|Liu,M.|Deora,R.|Simons,R.W.|Zimmerly,S.|Miller,J.F.",10.1038/nature02833,15386016,1476-4687,0028-0836,,2004,September,NATURE,7007,431,476-481
WOS:000352348500025,Inducible in vivo genome editing with CRISPR-Cas9,"Dow,Lukas E.|Fisher,Jonathan|O'Rourke,Kevin P.|Muley,Ashlesha|Kastenhuber,Edward R.|Livshits,Geulah|Tschaharganeh,Darjus F.|Socci,Nicholas D.|Lowe,Scott W.",10.1038/nbt.3155,25690852,1546-1696,1087-0156,,2015,April,NATURE BIOTECHNOLOGY,4,33,390-U98
WOS:000395924600021,Overcoming cellular barriers for RNA therapeutics,"Dowdy,Steven F.",10.1038/nbt.3802,28244992,1546-1696,1087-0156,,2017,March,NATURE BIOTECHNOLOGY,3,35,222-229
WOS:000354040900028,Sequential cancer mutations in cultured human intestinal stem cells,"Drost,Jarno|Jaarsveld,Richard H.|Ponsioen,Bas|Zimberlin,Cheryl|Boxtel,Ruben|Buijs,Arjan|Sachs,Norman|Overmeer,Rene M.|Offerhaus,G. Johan|Begthel,Harry|Korving,Jeroen|Wetering,Marc|Schwank,Gerald|Logtenberg,Meike|Cuppen,Edwin|Snippert,Hugo J.|Medema,Jan|Kops,Geert J. P. L.|Clevers,Hans",10.1038/nature14415,25924068,1476-4687,0028-0836,,2015,May,NATURE,7550,521,43-U329
WOS:000449766000001,Live imaging and tracking of genome regions in CRISPR/dCas9 knock-in mice,"Duan,Jinzhi|Lu,Guangqing|Hong,Yu|Hu,Qingtao|Mai,Xueying|Guo,Jing|Si,Xiaofang|Wang,Fengchao|Zhang,Yu",10.1186/s13059-018-1530-1,30409154,,1474-760X,,2018,November,GENOME BIOLOGY,,19,
WOS:000320030000018,High-Resolution Transcriptome Maps Reveal Strain-Specific Regulatory Features of Multiple Campylobacter jejuni Isolates,"Dugar,Gaurav|Herbig,Alexander|Foerstner,Konrad U.|Heidrich,Nadja|Reinhardt,Richard|Nieselt,Kay|Sharma,Cynthia M.",10.1371/journal.pgen.1003495,23696746,,1553-7404,,2013,May,PLOS GENETICS,5,9,
WOS:000419816600037,Gene therapy comes of age,"Dunbar,Cynthia E.|High,Katherine A.|Joung,J. Keith|Kohn,Donald B.|Ozawa,Keiya|Sadelain,Michel",10.1126/science.aan4672,,1095-9203,0036-8075,,2018,January,SCIENCE,6372,359,175+
WOS:000308347000039,An integrated encyclopedia of DNA elements in the human genome,"Dunham,Ian|Kundaje,Anshul|Aldred,Shelley F.|Collins,Patrick J.|Davis,Carrie A.|Doyle,Francis|Epstein,Charles B.|Frietze,Seth|Harrow,Jennifer|Kaul,Rajinder|Khatun,Jainab|Lajoie,Bryan R.|Landt,Stephen G.|Lee,Bum-Kyu|Pauli,Florencia|Rosenbloom,Kate R.|Sabo,Peter|Safi,Alexias|Sanyal,Amartya|Shoresh,Noam|Simon,Jeremy M.|Song,Lingyun|Trinklein,Nathan D.|Altshuler,Robert C.|Birney,Ewan|Brown,James B.|Cheng,Chao|Djebali,Sarah|Dong,Xianjun|Dunham,Ian|Ernst,Jason|Furey,Terrence S.|Gerstein,Mark|Giardine,Belinda|Greven,Melissa|Hardison,Ross C.|Harris,Robert S.|Herrero,Javier|Hoffman,Michael M.|Iyer,Sowmya|Kellis,Manolis|Khatun,Jainab|Kheradpour,Pouya|Kundaje,Anshul|Lassmann,Timo|Li,Qunhua|Lin,Xinying|Marinov,Georgi K.|Merkel,Angelika|Mortazavi,Ali|Parker,Stephen C. J.|Reddy,Timothy E.|Rozowsky,Joel|Schlesinger,Felix|Thurman,Robert E.|Wang,Jie|Ward,Lucas D.|Whitfield,Troy W.|Wilder,Steven P.|Wu,Weisheng|Xi,Hualin S.|Yip,Kevin Y.|Zhuang,Jiali|Bernstein,Bradley E.|Birney,Ewan|Dunham,Ian|Green,Eric D.|Gunter,Chris|Snyder,Michael|Pazin,Michael J.|Lowdon,Rebecca F.|Dillon,Laura A. L.|Adams,Leslie B.|Kelly,Caroline J.|Zhang,Julia|Wexler,Judith R.|Green,Eric D.|Good,Peter J.|Feingold,Elise A.|Bernstein,Bradley E.|Birney,Ewan|Crawford,Gregory E.|Dekker,Job|Elnitski,Laura|Farnham,Peggy J.|Gerstein,Mark|Giddings,Morgan C.|Gingeras,Thomas R.|Green,Eric D.|Guigo,Roderic|Hardison,Ross C.|Hubbard,Timothy J.|Kellis,Manolis|Kent,W. James|Lieb,Jason D.|Margulies,Elliott H.|Myers,Richard M.|Snyder,Michael|Stamatoyannopoulos,John A.|Tenenbaum,Scott A.|Weng,Zhiping|White,Kevin P.|Wold,Barbara|Khatun,Jainab|Yu,Yanbao|Wrobel,John|Risk,Brian A.|Gunawardena,Harsha P.|Kuiper,Heather C.|Maier,Christopher W.|Xie,Ling|Chen,Xian|Giddings,Morgan C.|Bernstein,Bradley E.|Epstein,Charles B.|Shoresh,Noam|Ernst,Jason|Kheradpour,Pouya|Mikkelsen,Tarjei S.|Gillespie,Shawn|Goren,Alon|Ram,Oren|Zhang,Xiaolan|Wang,Li|Issner,Robbyn|Coyne,Michael J.|Durham,Timothy|Ku,Manching|Truong,Thanh|Ward,Lucas D.|Altshuler,Robert C.|Eaton,Matthew L.|Kellis,Manolis|Djebali,Sarah|Davis,Carrie A.|Merkel,Angelika|Dobin,Alex|Lassmann,Timo|Mortazavi,Ali|Tanzer,Andrea|Lagarde,Julien|Lin,Wei|Schlesinger,Felix|Xue,Chenghai|Marinov,Georgi K.|Khatun,Jainab|Williams,Brian A.|Zaleski,Chris|Rozowsky,Joel|Roeder,Maik|Kokocinski,Felix|Abdelhamid,Rehab F.|Alioto,Tyler|Antoshechkin,Igor|Baer,Michael T.|Batut,Philippe|Bell,Ian|Bell,Kimberly|Chakrabortty,Sudipto|Chen,Xian|Chrast,Jacqueline|Curado,Joao|Derrien,Thomas|Drenkow,Jorg|Dumais,Erica|Dumais,Jackie|Duttagupta,Radha|Fastuca,Megan|Fejes-Toth,Kata|Ferreira,Pedro|Foissac,Sylvain|Fullwood,Melissa J.|Gao,Hui|Gonzalez,David|Gordon,Assaf|Gunawardena,Harsha P.|Howald,Cedric|Jha,Sonali|Johnson,Rory|Kapranov,Philipp|King,Brandon|Kingswood,Colin|Li,Guoliang|Luo,Oscar J.|Park,Eddie|Preall,Jonathan B.|Presaud,Kimberly|Ribeca,Paolo|Risk,Brian A.|Robyr,Daniel|Ruan,Xiaoan|Sammeth,Michael|Sandhu,Kuljeet|Schaeffer,Lorain|See,Lei-Hoon|Shahab,Atif|Skancke,Jorgen|Suzuki,Ana|Takahashi,Hazuki|Tilgner,Hagen|Trout,Diane|Walters,Nathalie|Wang,Huaien|Wrobel,John|Yu,Yanbao|Hayashizaki,Yoshihide|Harrow,Jennifer|Gerstein,Mark|Hubbard,Timothy J.|Reymond,Alexandre|Antonarakis,Stylianos E.|Hannon,Gregory J.|Giddings,Morgan C.|Ruan,Yijun|Wold,Barbara|Carninci,Piero|Guigo,Roderic|Gingeras,Thomas R.|Rosenbloom,Kate R.|Sloan,Cricket A.|Learned,Katrina|Malladi,Venkat S.|Wong,Matthew C.|Barber,Galtp.|Cline,Melissa S.|Dreszer,Timothy R.|Heitner,Steven G.|Karolchik,Donna|Kent,W. James|Kirkup,Vanessa M.|Meyer,Laurence R.|Long,Jeffrey C.|Maddren,Morgan|Raney,Brian J.|Furey,Terrence S.|Song,Lingyun|Grasfeder,Linda L.|Giresi,Paul G.|Lee,Bum-Kyu|Battenhouse,Anna|Sheffield,Nathan C.|Simon,Jeremy M.|Showers,Kimberly A.|Safi,Alexias|London,Darin|Bhinge,Akshay A.|Shestak,Christopher|Schaner,Matthew R.|Kim,Seul|Zhang,Zhuzhu Z.|Mieczkowski,Piotr A.|Mieczkowska,Joanna O.|Liu,Zheng|McDaniell,Ryan M.|Ni,Yunyun|Rashid,Naim U.|Kim,Min|Adar,Sheera|Zhang,Zhancheng|Wang,Tianyuan|Winter,Deborah|Keefe,Damian|Birney,Ewan|Iyer,Vishwanath R.|Lieb,Jason D.|Crawford,Gregory E.|Li,Guoliang|Sandhu,Kuljeet|Zheng,Meizhen|Wang,Ping|Luo,Oscar J.|Shahab,Atif|Fullwood,Melissa J.|Ruan,Xiaoan|Ruan,Yijun|Myers,Richard M.|Pauli,Florencia|Williams,Brian A.|Gertz,Jason|Marinov,Georgi K.|Reddy,Timothy E.|Vielmetter,Jost|Partridge,E. Christopher|Trout,Diane|Varley,Katherine E.|Gasper,Clarke|Bansal,Anita|Pepke,Shirley|Jain,Preti|Amrhein,Henry|Bowling,Kevin M.|Anaya,Michael|Cross,Marie K.|King,Brandon|Muratet,Michael A.|Antoshechkin,Igor|Newberry,Kimberly M.|Mccue,Kenneth|Nesmith,Amy S.|Fisher-Aylor,Katherine I.|Pusey,Barbara|DeSalvo,Gilberto|Parker,Stephanie L.|Balasubramanian,Sreeram|Davis,Nicholas S.|Meadows,Sarah K.|Eggleston,Tracy|Gunter,Chris|Newberry,J. Scott|Levy,Shawn E.|Absher,Devin M.|Mortazavi,Ali|Wong,Wing H.|Wold,Barbara|Blow,Matthew J.|Visel,Axel|Pennachio,Len A.|Elnitski,Laura|Margulies,Elliott H.|Parker,Stephen C. J.|Petrykowska,Hanna M.|Abyzov,Alexej|Aken,Bronwen|Barrell,Daniel|Barson,Gemma|Berry,Andrew|Bignell,Alexandra|Boychenko,Veronika|Bussotti,Giovanni|Chrast,Jacqueline|Davidson,Claire|Derrien,Thomas|Despacio-Reyes,Gloria|Diekhans,Mark|Ezkurdia,Iakes|Frankish,Adam|Gilbert,James|Gonzalez,Jose|Griffiths,Ed|Harte,Rachel|Hendrix,David A.|Howald,Cedric|Hunt,Toby|Jungreis,Irwin|Kay,Mike|Khurana,Ekta|Kokocinski,Felix|Leng,Jing|Lin,Michael F.|Loveland,Jane|Lu,Zhi|Manthravadi,Deepa|Mariotti,Marco|Mudge,Jonathan|Mukherjee,Gaurab|Notredame,Cedric|Pei,Baikang|Rodriguez,Jose|Saunders,Gary|Sboner,Andrea|Searle,Stephen|Sisu,Cristina|Snow,Catherine|Steward,Charlie|Tanzer,Andrea|Tapanari,Electra|Tress,Michael L.|Baren,Marijke J.|Walters,Nathalie|Washietl,Stefan|Wilming,Laurens|Zadissa,Amonida|Zhang,Zhengdong|Brent,Michael|Haussler,David|Kellis,Manolis|Valencia,Alfonso|Gerstein,Mark|Reymond,Alexandre|Guigo,Roderic|Harrow,Jennifer|Hubbard,Timothy J.|Landt,Stephen G.|Frietze,Seth|Abyzov,Alexej|Addleman,Nick|Alexander,Roger P.|Auerbach,Raymond K.|Balasubramanian,Suganthi|Bettinger,Keith|Bhardwaj,Nitin|Boyle,Alan P.|Cao,Alina R.|Cayting,Philip|Charos,Alexandra|Cheng,Yong|Cheng,Chao|Eastman,Catharine|Euskirchen,Ghia|Fleming,Joseph D.|Grubert,Fabian|Habegger,Lukas|Hariharan,Manoj|Harmanci,Arif|Iyengar,Sushma|Jin,Victor X.|Karczewski,Konrad J.|Kasowski,Maya|Lacroute,Phil|Lam,Hugo|Lamarre-Vincent,Nathan|Leng,Jing|Lian,Jin|Lindahl-Allen,Marianne|Min,Renqiang|Miotto,Benoit|Monahan,Hannah|Moqtaderi,Zarmik|Mu,Xinmeng J.|O'Geen,Henriette|Ouyang,Zhengqing|Patacsil,Dorrelyn|Pei,Baikang|Raha,Debasish|Ramirez,Lucia|Reed,Brian|Rozowsky,Joel|Sboner,Andrea|Shi,Minyi|Sisu,Cristina|Slifer,Teri|Witt,Heather|Wu,Linfeng|Xu,Xiaoqin|Yan,Koon-Kiu|Yang,Xinqiong|Yip,Kevin Y.|Zhang,Zhengdong|Struhl,Kevin|Weissman,Sherman M.|Gerstein,Mark|Farnham,Peggy J.|Snyder,Michael|Tenenbaum,Scott A.|Penalva,Luiz O.|Doyle,Francis|Karmakar,Subhradip|Landt,Stephen G.|Bhanvadia,Raj R.|Choudhury,Alina|Domanus,Marc|Ma,Lijia|Moran,Jennifer|Patacsil,Dorrelyn|Slifer,Teri|Victorsen,Alec|Yang,Xinqiong|Snyder,Michael|White,Kevin P.|Auer,Thomas|Centanin,Lazaro|Eichenlaub,Michael|Gruhl,Franziska|Heermann,Stephan|Hoeckendorf,Burkhard|Inoue,Daigo|Kellner,Tanja|Kirchmaier,Stephan|Mueller,Claudia|Reinhardt,Robert|Schertel,Lea|Schneider,Stephanie|Sinn,Rebecca|Wittbrodt,Beate|Wittbrodt,Jochen|Weng,Zhiping|Whitfield,Troy W.|Wang,Jie|Collins,Patrick J.|Aldred,Shelley F.|Trinklein,Nathan D.|Partridge,E. Christopher|Myers,Richard M.|Dekker,Job|Jain,Gaurav|Lajoie,Bryan R.|Sanyal,Amartya|Balasundaram,Gayathri|Bates,Daniel L.|Byron,Rachel|Canfield,Theresa K.|Diegel,Morgan J.|Dunn,Douglas|Ebersol,Abigail K.|Frum,Tristan|Garg,Kavita|Gist,Erica|Hansen,R. Scott|Boatman,Lisa|Haugen,Eric|Humbert,Richard|Jain,Gaurav|Johnson,Audra K.|Johnson,Ericka M.|Kutyavin,Tattyana V.|Lajoie,Bryan R.|Lee,Kristen|Lotakis,Dimitra|Maurano,Matthew T.|Neph,Shane J.|Neri,Fiedencio V.|Nguyen,Eric D.|Qu,Hongzhu|Reynolds,Alex P.|Roach,Vaughn|Rynes,Eric|Sabo,Peter|Sanchez,Minerva E.|Sandstrom,Richard S.|Sanyal,Amartya|Shafer,Anthony O.|Stergachis,Andrew B.|Thomas,Sean|Thurman,Robert E.|Vernot,Benjamin|Vierstra,Jeff|Vong,Shinny|Wang,Hao|Weaver,Molly A.|Yan,Yongqi|Zhang,Miaohua|Akey,Joshua M.|Bender,Michael|Dorschner,Michael O.|Groudine,Mark|MacCoss,Michael J.|Navas,Patrick|Stamatoyannopoulos,George|Kaul,Rajinder|Dekker,Job|Stamatoyannopoulos,John A.|Dunham,Ian|Beal,Kathryn|Brazma,Alvis|Flicek,Paul|Herrero,Javier|Johnson,Nathan|Keefe,Damian|Lukk,Margus|Luscombe,Nicholas M.|Sobral,Daniel|Vaquerizas,Juan M.|Wilder,Steven P.|Batzoglou,Serafim|Sidow,Arend|Hussami,Nadine|Kyriazopoulou-Panagiotopoulou,Sofia|Libbrecht,Max W.|Schaub,Marc A.|Kundaje,Anshul|Hardison,Ross C.|Miller,Webb|Giardine,Belinda|Harris,Robert S.|Wu,Weisheng|Bickel,Peter J.|Banfai,Balazs|Boley,Nathan P.|Brown,James B.|Huang,Haiyan|Li,Qunhua|Li,Jingyi|Noble,William|Bilmes,Jeffrey A.|Buske,Orion J.|Hoffman,Michael M.|Sahu,Avinash D.|Kharchenko,Peter V.|Park,Peter J.|Baker,Dannon|Taylor,James|Weng,Zhiping|Iyer,Sowmya|Dong,Xianjun|Greven,Melissa|Lin,Xinying|Wang,Jie|Xi,Hualin S.|Zhuang,Jiali|Gerstein,Mark|Alexander,Roger P.|Balasubramanian,Suganthi|Cheng,Chao|Harmanci,Arif|Lochovsky,Lucas|Min,Renqiang|Mu,Xinmeng J.|Rozowsky,Joel|Yan,Koon-Kiu|Yip,Kevin Y.|Birney,Ewan|Consortium,ENCODE",10.1038/nature11247,22955616,1476-4687,0028-0836,,2012,September,NATURE,7414,489,57-74
WOS:000173521300001,Cancer Modeling in the modern era: Progress and challenges,"van Dyke,T.|Jacks,T.",10.1016/S0092-8674(02)00621-9,11832204,1097-4172,0092-8674,,2002,January,CELL,2,108,135-144
WOS:000386671000050,Two distinct RNase activities of CRISPR-C2c2 enable guide-RNA processing and RNA detection,"East-Seletsky,Alexandra|O'Connell,Mitchell R.|Knight,Spencer C.|Burstein,David|Cate,Jamie H. D.|Tjian,Robert|Doudna,Jennifer A.",10.1038/nature19802,27669025,1476-4687,0028-0836,,2016,October,NATURE,7624,538,270+
WOS:000323474900003,Harnessing the CRISPR/Cas9 system to disrupt latent HIV-1 provirus,"Ebina,Hirotaka|Misawa,Naoko|Kanemura,Yuka|Koyanagi,Yoshio",10.1038/srep02510,23974631,,2045-2322,,2013,August,SCIENTIFIC REPORTS,,3,
WOS:000243922000001,PILER-CR: Fast and accurate identification of CRISPR repeats,"Edgar,Robert C.",10.1186/1471-2105-8-18,17239253,,1471-2105,,2007,January,BMC BIOINFORMATICS,,8,
WOS:000283994300021,"The Escherichia coli CRISPR System Protects from lambda Lysogenization, Lysogens, and Prophage Induction","Edgar,Rotem|Qimron,Udi",10.1128/JB.00644-10,20889749,,0021-9193,,2010,December,JOURNAL OF BACTERIOLOGY,23,192,6291-6294
WOS:000441115200008,Inter-homologue repair in fertilized human eggs?,"Egli,Dieter|Zuccaro,Michael V.|Kosicki,Michael|Church,George M.|Bradley,Allan|Jasin,Maria",10.1038/s41586-018-0379-5,30089924,1476-4687,0028-0836,,2018,August,NATURE,7717,560,E5-E7
WOS:000370131500007,Bipartite recognition of target RNAs activates DNA cleavage by the Type III-B CRISPR-Cas system,"Elmore,Joshua R.|Sheppard,Nolan F.|Ramia,Nancy|Deighan,Trace|Li,Hong|Terns,Rebecca M.|Terns,Michael P.",10.1101/gad.272153.115,26848045,1549-5477,0890-9369,,2016,February,GENES \& DEVELOPMENT,4,30,447-459
WOS:000086499100006,Genetic variation and evolutionary origin of the direct repeat locus of Mycobacterium tuberculosis complex bacteria,"van Embden,J.D.A|van Gorkom,T.|Kremer,K.|Jansen,R.|van der Zeijst,B.A.M.|Schouls,L.M.",10.1128/JB.182.9.2393-2401.2000,10762237,1098-5530,0021-9193,,2000,May,JOURNAL OF BACTERIOLOGY,9,182,2393-2401
WOS:A1990DR65400009,EXPRESSION OF THE MAJOR GAS VESICLE PROTEIN GENE IN THE HALOPHILIC ARCHAEBACTERIUM HALOFERAX-MEDITERRANEI IS MODULATED BY SALT,"Englert,C.|Horne,M.|Pfeifer,F.",10.1007/BF00633822,1703266,,0026-8925,,1990,July,MOLECULAR \& GENERAL GENETICS,2-3,222,225-232
WOS:000308584400004,Selective and hyperactive uptake of foreign DNA by adaptive immune systems of an archaeon via two distinct mechanisms,"Erdmann,Susanne|Garrett,Roger A.",10.1111/j.1365-2958.2012.08171.x,22834906,,0950-382X,,2012,September,MOLECULAR MICROBIOLOGY,6,85,1044-1056
WOS:000357439600014,The history and market impact of CRISPR RNA-guided nucleases,"Erp,Paul B. G.|Bloomer,Gary|Wilkinson,Royce|Wiedenheft,Blake",10.1016/j.coviro.2015.03.011,25914022,,1879-6257,,2015,June,CURRENT OPINION IN VIROLOGY,,12,85-90
WOS:000370131500008,RNA-activated DNA cleavage by the Type III-B CRISPR-Cas effector complex,"Estrella,Michael A.|Kuo,Fang-Ting|Bailey,Scott",10.1101/gad.273722.115,26848046,1549-5477,0890-9369,,2016,February,GENES \& DEVELOPMENT,4,30,460-470
WOS:000326507600029,Orthogonal Cas9 proteins for RNA-guided gene regulation and editing,"Esvelt,Kevin M.|Mali,Prashant|Braff,Jonathan L.|Moosburner,Mark|Yaung,Stephanie J.|Church,George M.",10.1038/NMETH.2681,24076762,1548-7105,1548-7091,,2013,November,NATURE METHODS,11,10,1116-1121
WOS:000209690800001,Concerning RNA-guided gene drives for the alteration of wild populations,"Esvelt,Kevin M.|Smidler,Andrea L.|Catteruccia,Flaminia|Church,George M.",10.7554/eLife.03401,25035423,,2050-084X,,2014,July,ELIFE,,3,
WOS:A1981LW55000043,ESTABLISHMENT IN CULTURE OF PLURIPOTENTIAL CELLS FROM MOUSE EMBRYOS,"EVANS,MJ|KAUFMAN,MH",10.1038/292154a0,7242681,,0028-0836,,1981,,NATURE,5819,292,154-156
WOS:000395671500043,Targeting a CAR to the TRAC locus with CRISPR/Cas9 enhances tumour rejection,"Eyquem,Justin|Mansilla-Soto,Jorge|Giavridis,Theodoros|Stegen,Sjoukje J. C.|Hamieh,Mohamad|Cunanan,Kristen M.|Odak,Ashlesha|Goenen,Mithat|Sadelain,Michel",10.1038/nature21405,28225754,1476-4687,0028-0836,,2017,March,NATURE,7643,543,113+
WOS:000305343500044,CRISPR Typing and Subtyping for Improved Laboratory Surveillance of Salmonella Infections,"Fabre,Laetitia|Zhang,Jian|Guigon,Ghislaine|Hello,Simon|Guibert,Veronique|Accou-Demartin,Marie|Romans,Saiana|Lim,Catherine|Roux,Chrystelle|Passet,Virginie|Diancourt,Laure|Guibourdenche,Martine|Issenhuth-Jeanjean,Sylvie|Achtman,Mark|Brisse,Sylvain|Sola,Christophe|Weill,Francois-Xavier",10.1371/journal.pone.0036995,22623967,,1932-6203,,2012,May,PLOS ONE,5,7,
WOS:000358172500002,Efficient CRISPR/Cas9-mediated Targeted Mutagenesis in Populus in the First Generation,"Fan,Di|Liu,Tingting|Li,Chaofeng|Jiao,Bo|Li,Shuang|Hou,Yishu|Luo,Keming",10.1038/srep12217,26193631,,2045-2322,,2015,July,SCIENTIFIC REPORTS,,5,
WOS:A1996VU68800023,Recombination induced by triple-helix-targeted DNA damage in mammalian cells,"Faruqi,AF|Seidman,MM|Segal,DJ|Carroll,D|Glazer,PM",,8943337,1098-5549,0270-7306,,1996,December,MOLECULAR AND CELLULAR BIOLOGY,12,16,6820-6828
WOS:000072115900009,Peptide nucleic acid-targeted mutagenesis of a chromosomal gene in mouse cells,"Faruqi,AF|Egholm,M|Glazer,PM",10.1073/pnas.95.4.1398,9465026,,0027-8424,,1998,February,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,4,95,1398-1403
WOS:000326122000006,Tunable and Multifunctional Eukaryotic Transcription Factors Based on CRISPR/Cas,"Farzadfard,Fahim|Perli,Samuel D.|Lu,Timothy K.",10.1021/sb400081r,23977949,,2161-5063,,2013,October,ACS SYNTHETIC BIOLOGY,10,2,604-613
WOS:000339439200014,Both CRISPR/Cas-based nucleases and nickases can be used efficiently for genome engineering in Arabidopsis thaliana,"Fauser,Friedrich|Schiml,Simon|Puchta,Holger",10.1111/tpj.12554,24836556,1365-313X,0960-7412,,2014,July,PLANT JOURNAL,2,79,348-359
WOS:000393446800016,Cornerstones of CRISPR-Cas in drug discovery and therapy,"Fellmann,Christof|Cowen,Benjamin C.|Lin,Pei-Chun|Doudna,Jennifer A.|Corn,Jacob E.",10.1038/nrd.2016.238,28008168,1474-1784,1474-1776,,2017,February,NATURE REVIEWS DRUG DISCOVERY,2,16,89-100
WOS:000325278000012,Efficient genome editing in plants using a CRISPR/Cas system,"Feng,Zhengyan|Zhang,Botao|Ding,Wona|Liu,Xiaodong|Yang,Dong-Lei|Wei,Pengliang|Cao,Fengqiu|Zhu,Shihua|Zhang,Feng|Mao,Yanfei|Zhu,Jian-Kang",10.1038/cr.2013.114,23958582,,1001-0602,,2013,October,CELL RESEARCH,10,23,1229-1232
WOS:000333341100066,"Multigeneration analysis reveals the inheritance, specificity, and patterns of CRISPR/Cas-induced gene modifications in Arabidopsis","Feng,Zhengyan|Mao,Yanfei|Xu,Nanfei|Zhang,Botao|Wei,Pengliang|Yang,Dong-Lei|Wang,Zhen|Zhang,Zhengjing|Zheng,Rui|Yang,Lan|Zeng,Liang|Liu,Xiaodong|Zhu,Jian-Kang",10.1073/pnas.1400822111,24550464,,0027-8424,,2014,March,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,12,111,4632-4637
WOS:000352955900046,The Potential of the Combination of CRISPR/Cas9 and Pluripotent Stem Cells to Provide Human Organs from Chimaeric Pigs,"Feng,Wanyou|Dai,Yifan|Mou,Lisha|Cooper,David K. C.|Shi,Deshun|Cai,Zhiming",10.3390/ijms16036545,25807262,,1422-0067,,2015,March,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,3,16,6545-6556
WOS:000341174800042,Saturation editing of genomic regions by multiplex homology-directed repair,"Findlay,Gregory M.|Boyle,Evan A.|Hause,Ronald J.|Klein,Jason C.|Shendure,Jay",10.1038/nature13695,25141179,1476-4687,0028-0836,,2014,September,NATURE,7516,513,120+
WOS:000426243000001,A Single Administration of CRISPR/Cas9 Lipid Nanoparticles Achieves Robust and Persistent In Vivo Genome Editing,"Finn,Jonathan D.|Smith,Amy|Patel,Mihir C.|Shaw,Lucinda|Youniss,Madeleine R.|Heteren,Jane|Dirstine,Tanner|Ciullo,Corey|Lescarbeau,Reynald|Seitzer,Jessica|Shah,Ruchi R.|Shah,Aalok|Ling,Dandan|Growe,Jacqueline|Pink,Melissa|Rohde,Ellen|Wood,Kristy M.|Salomon,William E.|Harrington,William F.|Dombrowski,Christian|Strapps,Walter R.|Chang,Yong|Morrissey,David V.",10.1016/j.celrep.2018.02.014,29490262,,2211-1247,,2018,February,CELL REPORTS,9,22,2227-2235
WOS:000360574200003,Functional Gene Correction for Cystic Fibrosis in Lung Epithelial Cells Generated from Patient iPSCs,"Firth,Amy L.|Menon,Tushar|Parker,Gregory S.|Qualls,Susan J.|Lewis,Benjamin M.|Ke,Eugene|Dargitz,Carl T.|Wright,Rebecca|Khanna,Ajai|Gage,Fred H.|Verma,Inder M.",10.1016/j.celrep.2015.07.062,26299960,,2211-1247,,2015,September,CELL REPORTS,9,12,1385-1390
WOS:000367944900037,Insulator dysfunction and oncogene activation in IDH mutant gliomas,"Flavahan,William A.|Drier,Yotam|Liau,Brian B.|Gillespie,Shawn M.|Venteicher,Andrew S.|Stemmer-Rachamimov,Anat O.|Suva,Mario L.|Bernstein,Bradley E.",10.1038/nature16490,26700815,1476-4687,0028-0836,,2016,January,NATURE,7584,529,110+
